,NO,NO2,NOX,O3,PM10,PM2.5,SO2,WIND,WINDS
3713,17.54545455,27.18181818,49.27272727,45.27272727,22.63636364,24.09090909,4.363636364,280.8153693,2.945454545
3714,20.09090909,29.09090909,53.81818182,43.42727273,20.0,25.36363636,3.909090909,277.0089189,2.745454545
3715,22.81818182,33.09090909,60.63636364,37.02727273,21.36363636,20.27272727,4.181818182,281.8905387,2.681818182
3716,31.18181818,43.36363636,79.54545455,34.99090909,19.63636364,18.54545455,4.636363636,273.055886,2.790909091
3717,75.0,61.09090909,141.3636364,17.18181818,27.63636364,32.81818182,5.909090909,267.0135121,1.372727273
3718,218.1818182,53.27272727,277.1818182,7.109090909,35.54545455,43.18181818,8.727272727,309.2689506,0.636363636
3719,375.0,35.90909091,417.3636364,3.636363636,48.63636364,53.54545455,11.09090909,343.8948715,0.354545455
3720,264.8181818,41.90909091,312.6363636,3.963636364,66.72727273,73.18181818,11.0,127.525007,0.672727273
3721,201.3636364,43.09090909,249.8181818,4.654545455,92.09090909,96.81818182,10.0,142.2455527,0.781818182
3722,196.4545455,39.09090909,241.0909091,4.772727273,69.18181818,73.27272727,10.54545455,145.7025171,0.909090909
3723,66.09090909,44.90909091,115.9090909,7.845454545,70.09090909,74.63636364,9.181818182,119.7502426,0.690909091
3724,6.909090909,27.45454545,38.63636364,17.59090909,34.63636364,58.81818182,7.363636364,89.85264534,0.954545455
3725,3.454545455,16.90909091,24.54545455,22.70909091,29.18181818,41.72727273,5.727272727,108.3247109,0.954545455
3726,1.818181818,19.81818182,25.72727273,27.91818182,34.63636364,35.18181818,4.545454545,357.7150433,0.490909091
3727,6.363636364,21.81818182,32.54545455,31.5,22.27272727,26.54545455,3.727272727,257.4548888,0.509090909
3728,52.63636364,34.45454545,91.81818182,13.05454545,26.54545455,33.90909091,4.272727273,153.5830378,0.790909091
3729,248.0909091,25.90909091,280.1818182,6.036363636,45.36363636,48.72727273,7.0,135.1922046,0.427272727
3730,379.8181818,18.63636364,405.0909091,3.636363636,44.36363636,56.72727273,11.45454545,112.3515602,0.554545455
3731,302.3636364,40.09090909,348.9090909,3.872727273,47.36363636,48.36363636,12.90909091,73.83801969,0.618181818
3732,145.3636364,61.72727273,212.1818182,7.463636364,45.72727273,59.36363636,9.909090909,43.12172007,0.872727273
3733,103.7272727,50.90909091,159.8181818,11.97272727,35.63636364,43.18181818,8.0,325.4129028,1.545454545
3734,71.54545455,43.45454545,119.9090909,16.29090909,25.36363636,36.54545455,6.727272727,324.44934,2.336363636
3735,72.36363636,48.54545455,126.0909091,16.98181818,24.45454545,30.54545455,6.727272727,340.8046278,1.845454545
3736,68.54545455,41.72727273,115.1818182,18.24545455,31.0,38.45454545,6.181818182,344.1688635,2.681818182
3737,59.72727273,38.09090909,103.8181818,18.29090909,35.45454545,40.09090909,5.545454545,1.293387935,2.954545455
3738,67.18181818,37.90909091,110.2727273,16.34545455,27.54545455,35.09090909,5.090909091,342.6700629,2.990909091
3739,63.81818182,38.45454545,107.2727273,17.25454545,25.0,30.36363636,5.181818182,347.4579596,3.1
3740,76.36363636,55.54545455,137.3636364,15.9,49.18181818,49.0,7.090909091,357.3414129,2.290909091
